product_id,name,category,subcategory,unit_price,unit_cost,supplier_code,stock,created_at,active
21,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,7.1,4.97,SUP-OFF,286,2014-08-27,1
22,Newell 318,Office Supplies,Art,2.78,1.95,SUP-OFF,244,2016-12-09,1
23,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,8.62,6.03,SUP-OFF,481,2016-12-09,1
24,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,50.98,35.69,SUP-FUR,443,2017-07-16,1
25,Wilson Jones Active Use Binders,Office Supplies,Binders,7.28,5.1,SUP-OFF,385,2016-01-16,1
26,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,30.19,21.13,SUP-TEC,176,2016-01-16,1
27,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,880.98,616.69,SUP-FUR,431,2015-09-17,1
28,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,16.03,11.22,SUP-OFF,162,2015-09-17,1
29,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,51.75,36.22,SUP-FUR,120,2015-09-17,1
30,Poly String Tie Envelopes,Office Supplies,Envelopes,2.04,1.43,SUP-OFF,310,2015-09-17,1
31,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,17.98,12.59,SUP-OFF,302,2015-09-17,1
32,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,3.81,2.67,SUP-OFF,96,2015-09-17,1
33,Lumber Crayons,Office Supplies,Art,9.85,6.89,SUP-OFF,436,2015-09-17,1
34,Easy-staple paper,Office Supplies,Paper,12.28,8.6,SUP-OFF,74,2017-10-19,1
35,GE 30524EE4,Technology,Phones,195.99,137.19,SUP-TEC,355,2016-12-08,1
36,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,95.46,66.82,SUP-FUR,333,2016-12-08,1
37,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,15.74,11.02,SUP-OFF,490,2015-12-27,1
38,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,260.98,182.69,SUP-FUR,434,2015-12-27,1
39,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,100.98,70.69,SUP-FUR,186,2015-12-27,1
40,Plantronics HL10 Handset Lifter,Technology,Phones,115.99,81.19,SUP-TEC,443,2015-12-27,1
41,Panasonic Kx-TS550,Technology,Phones,45.99,32.19,SUP-TEC,378,2017-09-10,1
42,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,38.94,27.26,SUP-OFF,419,2016-07-17,1
43,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,59.76,41.83,SUP-OFF,202,2017-09-19,1
44,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,22.99,16.09,SUP-TEC,321,2016-03-11,1
45,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,8.73,6.11,SUP-OFF,235,2016-03-11,1
46,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,52.99,37.09,SUP-OFF,499,2014-10-20,1
47,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,15.0,10.5,SUP-TEC,424,2016-06-20,1
48,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,10.9,7.63,SUP-TEC,387,2016-06-20,1
49,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,6.37,4.46,SUP-OFF,293,2015-04-18,1
50,Avery 485,Office Supplies,Labels,12.53,8.77,SUP-OFF,326,2015-04-18,1
51,Longer-Life Soft White Bulbs,Furniture,Furnishings,3.08,2.16,SUP-FUR,436,2015-04-18,1
52,"Global Leather Task Chair, Black",Furniture,Chairs,89.99,62.99,SUP-FUR,423,2015-04-18,1
53,Advantus Push Pins,Office Supplies,Fasteners,2.18,1.53,SUP-OFF,403,2016-12-11,1
54,AT&T CL83451 4-Handset Telephone,Technology,Phones,205.99,144.19,SUP-TEC,274,2016-12-11,1
55,Home/Office Personal File Carts,Office Supplies,Storage,34.76,24.33,SUP-OFF,314,2016-06-17,1
56,Xerox 232,Office Supplies,Paper,6.48,4.54,SUP-OFF,351,2016-06-17,1
57,Novimex Turbo Task Chair,Furniture,Chairs,70.98,49.69,SUP-FUR,333,2016-06-17,1
58,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,7.28,5.1,SUP-OFF,167,2016-06-17,1
59,Plastic Binding Combs,Office Supplies,Binders,15.15,10.61,SUP-OFF,351,2016-06-17,1
60,Prang Dustless Chalk Sticks,Office Supplies,Art,1.68,1.18,SUP-OFF,162,2016-06-17,1
61,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,6.99,4.89,SUP-TEC,53,2015-11-24,1
62,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,5.38,3.77,SUP-OFF,66,2015-11-24,1
63,Xerox 1943,Office Supplies,Paper,48.91,34.24,SUP-OFF,490,2015-11-24,1
64,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,19.94,13.96,SUP-FUR,219,2015-11-24,1
65,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,60.89,42.62,SUP-FUR,86,2015-04-30,1
66,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,173.91,121.74,SUP-OFF,420,2014-12-05,1
67,netTALK DUO VoIP Telephone Service,Technology,Phones,52.49,36.74,SUP-TEC,98,2014-12-05,1
68,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,37.94,26.56,SUP-OFF,99,2016-06-04,1
69,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,5.77,4.04,SUP-OFF,77,2016-09-18,1
70,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,6.35,4.44,SUP-OFF,177,2017-09-14,1
71,High-Back Leather Manager's Chair,Furniture,Chairs,129.99,90.99,SUP-FUR,279,2015-04-26,1
72,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,60.65,42.45,SUP-FUR,88,2015-04-26,1
73,Safco Industrial Wire Shelving System,Office Supplies,Storage,90.98,63.69,SUP-OFF,276,2015-04-26,1
74,Economy Binders,Office Supplies,Binders,2.08,1.46,SUP-OFF,463,2017-12-09,1
75,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,8.09,5.66,SUP-FUR,435,2017-12-09,1
76,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,11.35,7.94,SUP-OFF,484,2017-12-09,1
77,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,9.65,6.75,SUP-FUR,171,2014-11-26,1
78,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,208.16,145.71,SUP-OFF,296,2016-06-12,1
79,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,5.58,3.91,SUP-OFF,249,2016-06-12,1
80,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,2.98,2.09,SUP-OFF,185,2014-10-12,1
81,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,21.39,14.97,SUP-OFF,129,2014-10-12,1
82,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,35.89,25.12,SUP-OFF,147,2015-09-03,1
83,Safco Industrial Wire Shelving,Office Supplies,Storage,95.99,67.19,SUP-OFF,81,2017-11-13,1
84,Novimex Swivel Fabric Task Chair,Furniture,Chairs,150.98,105.69,SUP-FUR,486,2017-05-28,1
85,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,19.99,13.99,SUP-TEC,310,2017-10-26,1
86,Avery 511,Office Supplies,Labels,3.08,2.16,SUP-OFF,491,2017-10-26,1
87,Eldon Portable Mobile Manager,Office Supplies,Storage,28.28,19.8,SUP-OFF,170,2016-04-05,1
88,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,6.7,4.69,SUP-OFF,70,2016-09-17,1
89,Xerox 1995,Office Supplies,Paper,6.48,4.54,SUP-OFF,183,2016-09-17,1
90,Xerox 1999,Office Supplies,Paper,6.48,4.54,SUP-OFF,154,2015-01-31,1
91,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,17.78,12.45,SUP-FUR,203,2015-01-31,1
92,Ibico Standard Transparent Covers,Office Supplies,Binders,16.48,11.54,SUP-OFF,284,2015-01-31,1
93,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,18.94,13.26,SUP-OFF,211,2017-11-06,1
94,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,13.79,9.65,SUP-FUR,325,2017-11-09,1
95,Trimflex Flexible Post Binders,Office Supplies,Binders,21.38,14.97,SUP-OFF,500,2017-06-17,1
96,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,12.98,9.09,SUP-OFF,410,2016-09-06,1
97,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,11.54,8.08,SUP-OFF,333,2016-08-29,1
98,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,39.99,27.99,SUP-TEC,104,2016-08-29,1
99,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,2.98,2.09,SUP-OFF,430,2016-08-29,1
100,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,5.98,4.19,SUP-OFF,333,2016-12-01,1
101,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,49.77,34.84,SUP-TEC,154,2015-11-13,1
102,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,42.65,29.85,SUP-FUR,266,2015-11-13,1
103,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,40.98,28.69,SUP-OFF,474,2015-11-13,1
104,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,11.58,8.11,SUP-TEC,191,2017-11-23,1
105,Speck Products Candyshell Flip Case,Technology,Phones,34.99,24.49,SUP-TEC,429,2017-11-23,1
106,Newell Chalk Holder,Office Supplies,Art,4.13,2.89,SUP-OFF,276,2017-11-23,1
107,Logitech Gaming G510s - Keyboard,Technology,Accessories,84.99,59.49,SUP-TEC,332,2015-10-15,1
108,Magnifier Swing Arm Lamp,Furniture,Furnishings,20.98,14.69,SUP-FUR,126,2017-12-25,1
109,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,37.98,26.59,SUP-OFF,115,2016-11-03,1
110,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,4.54,3.18,SUP-OFF,177,2016-11-03,1
111,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,3.58,2.51,SUP-OFF,391,2014-08-25,1
112,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,2.95,2.06,SUP-OFF,129,2014-08-25,1
113,Xerox 1921,Office Supplies,Paper,9.99,6.99,SUP-OFF,171,2014-08-25,1
114,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,27.18,19.03,SUP-OFF,492,2014-08-25,1
115,Hon Racetrack Conference Tables,Furniture,Tables,262.51,183.76,SUP-FUR,133,2015-03-02,1
116,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,525.98,368.19,SUP-OFF,220,2015-04-05,1
117,Artistic Insta-Plaque,Furniture,Furnishings,15.68,10.98,SUP-FUR,409,2016-06-12,1
118,"Companion Letter/Legal File, Black",Office Supplies,Storage,37.76,26.43,SUP-OFF,468,2016-06-12,1
119,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,12.78,8.95,SUP-OFF,285,2016-06-12,1
120,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,9.72,6.8,SUP-TEC,229,2016-06-12,1
121,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,285.98,200.19,SUP-FUR,206,2014-12-26,1
122,Bevis 44 x 96 Conference Tables,Furniture,Tables,205.9,144.13,SUP-FUR,492,2014-09-20,1
123,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,3.98,2.79,SUP-OFF,324,2017-11-05,1
124,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,43.57,30.5,SUP-OFF,185,2017-11-05,1
125,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,79.52,55.66,SUP-FUR,210,2016-11-06,1
126,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,19.99,13.99,SUP-TEC,273,2017-02-02,1
127,Xerox 1916,Office Supplies,Paper,48.94,34.26,SUP-OFF,412,2017-02-02,1
128,Staples,Office Supplies,Fasteners,2.98,2.09,SUP-OFF,273,2017-02-02,1
129,Xerox 195,Office Supplies,Paper,6.68,4.68,SUP-OFF,50,2016-10-13,1
130,Xerox 1880,Office Supplies,Paper,35.44,24.81,SUP-OFF,369,2016-10-13,1
131,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,2.88,2.02,SUP-OFF,210,2016-10-13,1
132,Ideal Clamps,Office Supplies,Fasteners,2.01,1.41,SUP-OFF,389,2016-10-13,1
133,GBC Wire Binding Strips,Office Supplies,Binders,31.74,22.22,SUP-OFF,484,2016-10-13,1
134,Fiskars Softgrip Scissors,Office Supplies,Supplies,10.98,7.69,SUP-OFF,113,2016-10-13,1
135,Newell 343,Office Supplies,Art,2.94,2.06,SUP-OFF,201,2017-09-18,1
136,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,3.62,2.53,SUP-OFF,139,2017-09-18,1
137,Xerox 1911,Office Supplies,Paper,47.9,33.53,SUP-OFF,365,2017-09-18,1
138,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,279.81,195.87,SUP-OFF,341,2017-12-22,1
139,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,29.34,20.54,SUP-FUR,276,2014-10-22,1
140,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,34.95,24.46,SUP-TEC,457,2016-12-05,1
141,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,49.99,34.99,SUP-TEC,367,2016-12-05,1
142,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,34.31,24.02,SUP-OFF,221,2016-12-05,1
143,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,39.48,27.64,SUP-OFF,97,2016-03-13,1
144,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,126.99,88.89,SUP-TEC,62,2016-03-13,1
145,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,8.34,5.84,SUP-OFF,73,2015-05-31,1
146,Xerox 1883,Office Supplies,Paper,26.38,18.47,SUP-OFF,262,2015-05-31,1
147,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,13.48,9.44,SUP-OFF,372,2015-05-31,1
148,Newell 311,Office Supplies,Art,2.21,1.55,SUP-OFF,344,2015-05-28,1
149,Avery 519,Office Supplies,Labels,7.31,5.12,SUP-OFF,104,2016-11-20,1
150,Avaya 5420 Digital phone,Technology,Phones,134.99,94.49,SUP-TEC,177,2016-11-20,1
151,Xerox 1920,Office Supplies,Paper,5.98,4.19,SUP-OFF,484,2016-05-11,1
152,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,33.99,23.79,SUP-TEC,354,2015-12-28,1
153,Staple envelope,Office Supplies,Envelopes,5.68,3.98,SUP-OFF,268,2016-11-16,1
154,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,17.3,12.11,SUP-OFF,176,2016-11-07,1
155,BIC Brite Liner Highlighters,Office Supplies,Art,4.14,2.9,SUP-OFF,190,2014-09-08,1
156,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,1699.99,1189.99,SUP-TEC,213,2014-09-08,1
157,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,114.97,80.48,SUP-OFF,326,2014-09-08,1
158,SAFCO Arco Folding Chair,Furniture,Chairs,276.2,193.34,SUP-FUR,91,2014-09-08,1
159,Sanford Liquid Accent Highlighters,Office Supplies,Art,6.68,4.68,SUP-OFF,120,2014-09-08,1
160,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,177.98,124.59,SUP-OFF,127,2014-09-08,1
161,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,59.99,41.99,SUP-TEC,168,2014-09-08,1
162,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,Paper,6.98,4.89,SUP-OFF,246,2014-08-05,1
163,Xerox 1913,Office Supplies,Paper,55.48,38.84,SUP-OFF,327,2014-08-05,1
164,"Global Value Steno Chair, Gray",Furniture,Chairs,60.74,42.52,SUP-FUR,288,2014-08-05,1
165,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,131.12,91.78,SUP-OFF,262,2014-09-14,1
166,Avery 51,Office Supplies,Labels,6.3,4.41,SUP-OFF,349,2014-09-14,1
167,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,121.58,85.11,SUP-OFF,406,2017-04-21,1
168,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,80.98,56.69,SUP-FUR,230,2015-11-21,1
169,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,3.97,2.78,SUP-OFF,486,2015-11-21,1
170,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,3.28,2.3,SUP-OFF,477,2015-12-15,1
171,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,15.51,10.86,SUP-OFF,162,2014-12-05,1
172,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,72.99,51.09,SUP-TEC,222,2014-12-05,1
173,AT&T TR1909W,Technology,Phones,125.99,88.19,SUP-TEC,392,2014-11-19,1
174,Nokia Lumia 521 (T-Mobile),Technology,Phones,29.99,20.99,SUP-TEC,63,2014-11-19,1
175,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,14.5,10.15,SUP-TEC,251,2014-11-19,1
176,Avery Poly Binder Pockets,Office Supplies,Binders,3.58,2.51,SUP-OFF,353,2016-11-28,1
177,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,22.1,15.47,SUP-TEC,143,2014-08-26,1
178,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,15.51,10.86,SUP-OFF,222,2016-07-16,1
179,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,280.98,196.69,SUP-FUR,290,2015-10-12,1
180,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,11.96,8.37,SUP-TEC,85,2015-10-12,1
181,Xerox 205,Office Supplies,Paper,6.48,4.54,SUP-OFF,449,2015-10-12,1
182,4009 Highlighters by Sanford,Office Supplies,Art,3.98,2.79,SUP-OFF,383,2015-10-12,1
183,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,4.63,3.24,SUP-OFF,368,2014-03-21,1
184,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,2.52,1.76,SUP-OFF,161,2014-03-21,1
185,Decoflex Hanging Personal Folder File,Office Supplies,Storage,15.42,10.79,SUP-OFF,288,2017-11-06,1
186,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,4.91,3.44,SUP-OFF,417,2017-07-06,1
187,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,6.69,4.68,SUP-OFF,63,2017-07-06,1
188,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,9.06,6.34,SUP-OFF,209,2017-06-24,1
189,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,218.75,153.12,SUP-FUR,475,2014-08-03,1
190,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,3.25,2.27,SUP-OFF,111,2014-08-03,1
191,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,165.71,116.0,SUP-OFF,457,2017-12-17,1
192,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,6.28,4.4,SUP-FUR,309,2017-06-03,1
193,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,138.99,97.29,SUP-TEC,235,2017-12-09,1
194,"Tennsco Lockers, Gray",Office Supplies,Storage,20.98,14.69,SUP-OFF,383,2017-12-01,1
195,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,65.99,46.19,SUP-TEC,273,2017-12-01,1
196,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,5.81,4.07,SUP-OFF,472,2017-12-01,1
197,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,91.99,64.39,SUP-OFF,424,2017-12-01,1
198,Memorex Micro Travel Drive 8 GB,Technology,Accessories,13.0,9.1,SUP-TEC,353,2015-02-09,1
199,Avery 505,Office Supplies,Labels,14.8,10.36,SUP-OFF,280,2015-01-02,1
200,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,180.98,126.69,SUP-FUR,222,2015-01-02,1
201,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,440.0,308.0,SUP-TEC,64,2015-01-02,1
202,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,55.99,39.19,SUP-TEC,303,2015-01-02,1
203,Adtran 1202752G1,Technology,Phones,125.99,88.19,SUP-TEC,224,2016-10-28,1
204,OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners,3.49,2.44,SUP-OFF,193,2015-12-24,1
205,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,Paper,4.73,3.31,SUP-OFF,418,2015-12-24,1
206,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,22.72,15.9,SUP-FUR,258,2015-12-24,1
207,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines,399.99,279.99,SUP-TEC,300,2015-12-24,1
208,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art,16.98,11.89,SUP-OFF,334,2015-12-24,1
209,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,2.2,1.54,SUP-OFF,438,2015-08-09,1
210,Bevis 36 x 72 Conference Tables,Furniture,Tables,124.49,87.14,SUP-FUR,97,2015-08-09,1
211,Rogers Deluxe File Chest,Office Supplies,Storage,21.98,15.39,SUP-OFF,200,2015-08-09,1
212,Global Low Back Tilter Chair,Furniture,Chairs,100.98,70.69,SUP-FUR,163,2015-02-28,1
213,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,60.89,42.62,SUP-FUR,292,2015-02-28,1
214,GBC Instant Index System for Binding Systems,Office Supplies,Binders,8.88,6.22,SUP-OFF,333,2014-09-13,1
215,Bush Advantage Collection Round Conference Table,Furniture,Tables,212.6,148.82,SUP-FUR,282,2017-04-07,1
216,Bretford Rectangular Conference Table Tops,Furniture,Tables,376.13,263.29,SUP-FUR,168,2017-04-07,1
217,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,107.53,75.27,SUP-FUR,111,2017-04-07,1
218,Logitech P710e Mobile Speakerphone,Technology,Accessories,257.49,180.24,SUP-TEC,419,2017-04-07,1
219,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,5.28,3.7,SUP-OFF,148,2017-11-12,1
220,Xerox 1957,Office Supplies,Paper,6.48,4.54,SUP-OFF,148,2016-06-04,1
221,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,209.84,146.89,SUP-FUR,318,2016-06-04,1
222,Staple-based wall hangings,Furniture,Furnishings,9.74,6.82,SUP-FUR,355,2016-06-04,1
223,PureGear Roll-On Screen Protector,Technology,Phones,19.99,13.99,SUP-TEC,194,2016-06-04,1
224,KI Conference Tables,Furniture,Tables,70.89,49.62,SUP-FUR,101,2016-06-04,1
